78419,Corpus Christi,TX,Zip Code Area,78419,Zip matches ZCTA
87110,Albuquerque,NM,Zip Code Area,87110,Zip matches ZCTA
53786,Madison,WI,Post Office or large volume customer,53703,Spatial join to ZCTA
98950,Vantage,WA,Zip Code Area,98950,Zip matches ZCTA
46932,Galveston,IN,Zip Code Area,46932,Zip matches ZCTA
08801,Annandale,NJ,Zip Code Area,08801,Zip matches ZCTA
56014,Bricelyn,MN,Zip Code Area,56014,Zip matches ZCTA
14213,Buffalo,NY,Zip Code Area,14213,Zip matches ZCTA
36046,Lapine,AL,Zip Code Area,36046,Zip matches ZCTA
85323,Avondale,AZ,Zip Code Area,85323,Zip matches ZCTA
26802,Brandywine,WV,Zip Code Area,26802,Zip matches ZCTA
62253,Keyesport,IL,Zip Code Area,62253,Zip matches ZCTA
08057,Moorestown,NJ,Zip Code Area,08057,Zip matches ZCTA
33033,Homestead,FL,Zip Code Area,33033,Zip matches ZCTA
90661,Pico Rivera,CA,Post Office or large volume customer,90660,Spatial join to ZCTA
17219,Doylesburg,PA,Zip Code Area,17219,Zip matches ZCTA
50072,Earlham,IA,Zip Code Area,50072,Zip matches ZCTA
96839,Honolulu,HI,Post Office or large volume customer,96822,Spatial join to ZCTA
95233,Hathaway Pines,CA,Post Office or large volume customer,95233,Zip matches ZCTA
68413,Nehawka,NE,Zip Code Area,68413,Zip matches ZCTA
48188,Canton,MI,Zip Code Area,48188,Zip matches ZCTA
67235,Wichita,KS,Zip Code Area,67235,Zip matches ZCTA
04077,South Casco,ME,Post Office or large volume customer,04015,Spatial join to ZCTA
29102,Manning,SC,Zip Code Area,29102,Zip matches ZCTA
21857,Rehobeth,MD,Post Office or large volume customer,21871,Spatial join to ZCTA
52327,Riverside,IA,Zip Code Area,52327,Zip matches ZCTA
72410,Alicia,AR,Zip Code Area,72410,Zip matches ZCTA
50368,Des Moines,IA,Post Office or large volume customer,50266,Spatial join to ZCTA
32967,Vero Beach,FL,Zip Code Area,32967,Zip matches ZCTA
62535,Forsyth,IL,Zip Code Area,62535,Zip matches ZCTA
61236,Barstow,IL,Post Office or large volume customer,61236,Zip matches ZCTA
22402,Fredericksburg,VA,Post Office or large volume customer,22401,Spatial join to ZCTA
25723,Huntington,WV,Post Office or large volume customer,25701,Spatial join to ZCTA
14717,Caneadea,NY,Zip Code Area,14717,Zip matches ZCTA
04985,West Forks,ME,Zip Code Area,04985,Zip matches ZCTA
26537,Kingwood,WV,Zip Code Area,26537,Zip matches ZCTA
45239,Cincinnati,OH,Zip Code Area,45239,Zip matches ZCTA
21060,Glen Burnie,MD,Zip Code Area,21060,Zip matches ZCTA
75937,Chireno,TX,Zip Code Area,75937,Zip matches ZCTA
27516,Chapel Hill,NC,Zip Code Area,27516,Zip matches ZCTA
74837,Cromwell,OK,Post Office or large volume customer,74837,Zip matches ZCTA
04085,Steep Falls,ME,Zip Code Area,04085,Zip matches ZCTA
25671,Dingess,WV,Zip Code Area,25671,Zip matches ZCTA
27515,Chapel Hill,NC,Post Office or large volume customer,27514,Spatial join to ZCTA
55077,Inver Grove Heights,MN,Zip Code Area,55077,Zip matches ZCTA
59018,Clyde Park,MT,Zip Code Area,59018,Zip matches ZCTA
72641,Jasper,AR,Zip Code Area,72641,Zip matches ZCTA
27517,Chapel Hill,NC,Zip Code Area,27517,Zip matches ZCTA
71221,Bastrop,LA,Post Office or large volume customer,71220,Spatial join to ZCTA
83313,Bellevue,ID,Zip Code Area,83313,Zip matches ZCTA
19131,Philadelphia,PA,Zip Code Area,19131,Zip matches ZCTA
11719,Brookhaven,NY,Zip Code Area,11719,Zip matches ZCTA
72316,Blytheville,AR,Post Office or large volume customer,72315,Spatial join to ZCTA
94710,Berkeley,CA,Zip Code Area,94710,Zip matches ZCTA
42204,Allensville,KY,Zip Code Area,42204,Zip matches ZCTA
68920,Alma,NE,Zip Code Area,68920,Zip matches ZCTA
04629,East Blue Hill,ME,Post Office or large volume customer,04614,Spatial join to ZCTA
03852,Milton Mills,NH,Zip Code Area,03852,Zip matches ZCTA
30305,Atlanta,GA,Zip Code Area,30305,Zip matches ZCTA
27514,Chapel Hill,NC,Zip Code Area,27514,Zip matches ZCTA
60156,Lake in the Hills,IL,Zip Code Area,60156,Zip matches ZCTA
99921,Craig,AK,Zip Code Area,99921,Zip matches ZCTA
77963,Goliad,TX,Zip Code Area,77963,Zip matches ZCTA
93022,Oak View,CA,Zip Code Area,93022,Zip matches ZCTA
45304,Arcanum,OH,Zip Code Area,45304,Zip matches ZCTA
