storm_id,floodEventName,yearOfLoss,environment_type,total_incidents,avg_building_payout_2020_dollars,total_building_payout_2020_dollars
AL0520,Hurricane Sally,2020,1. Wetland Buffer (High Absorption),1079,30361.7820838794233,23166039.730000000
AL0520,Hurricane Sally,2020,2. Dense Urban (Concrete Shield),7,232.0000000000000,1392.000000000
AL0520,Hurricane Sally,2020,3. Suburban Sprawl,5,25281.3100000000000,25281.310000000
AL0520,Hurricane Sally,2020,4. Forest/Wildland (Natural Sponge),41,79099.8757142857143,1107398.260000000
AL0520,Hurricane Sally,2020,5. Agricultural/Rural (Moderate Runoff),47,22394.6966666666667,940577.260000000
AL0520,Hurricane Sally,2020,6. Mixed/Transition Zone,2141,45713.6464294258373,76433216.830000000
April 2007 Nor'easter,April 2007 Nor'easter,2007,1. Wetland Buffer (High Absorption),862,24947.6013782437802,18610910.628169860
April 2007 Nor'easter,April 2007 Nor'easter,2007,2. Dense Urban (Concrete Shield),1652,22678.8762375789612,31568995.722709914
April 2007 Nor'easter,April 2007 Nor'easter,2007,3. Suburban Sprawl,3697,29538.4052502725639,98067505.430904912
April 2007 Nor'easter,April 2007 Nor'easter,2007,4. Forest/Wildland (Natural Sponge),705,20567.1727064302963,11661586.924545978
April 2007 Nor'easter,April 2007 Nor'easter,2007,5. Agricultural/Rural (Moderate Runoff),4,24272.8939619880000,72818.681885964
April 2007 Nor'easter,April 2007 Nor'easter,2007,6. Mixed/Transition Zone,2857,27341.3461638677096,65154427.908496752
April Florida Flooding,April Florida Flooding,2023,1. Wetland Buffer (High Absorption),6,5976.8015306673333,17930.404592002
April Florida Flooding,April Florida Flooding,2023,2. Dense Urban (Concrete Shield),3122,62526.9493974444743,171636476.095985082
April Florida Flooding,April Florida Flooding,2023,3. Suburban Sprawl,76,22398.1370798151373,1142304.991070572
April Florida Flooding,April Florida Flooding,2023,6. Mixed/Transition Zone,239,51633.1700513695862,10481533.520428026
Blizzard of 1993,Blizzard of 1993,1993,1. Wetland Buffer (High Absorption),3427,39711.5581885094479,116513711.725086720
Blizzard of 1993,Blizzard of 1993,1993,2. Dense Urban (Concrete Shield),656,10466.6028384646207,4552972.234732110
Blizzard of 1993,Blizzard of 1993,1993,3. Suburban Sprawl,2195,26538.6520589176158,42408765.990150350
Blizzard of 1993,Blizzard of 1993,1993,4. Forest/Wildland (Natural Sponge),10,11157.7928936860000,55788.964468430
Blizzard of 1993,Blizzard of 1993,1993,5. Agricultural/Rural (Moderate Runoff),6,19963.4281726650000,39926.856345330
Blizzard of 1993,Blizzard of 1993,1993,6. Mixed/Transition Zone,4889,27174.8794168724597,106280953.399388190
California Atmospheric River,California Atmospheric River,2023,1. Wetland Buffer (High Absorption),3,3879.4628715780000,3879.462871578
California Atmospheric River,California Atmospheric River,2022,2. Dense Urban (Concrete Shield),102,35863.6691588202625,2869093.532705621
California Atmospheric River,California Atmospheric River,2023,2. Dense Urban (Concrete Shield),201,35995.8875356872897,3851559.966318540
California Atmospheric River,California Atmospheric River,2022,3. Suburban Sprawl,64,75842.8712258561132,4019672.174970374
California Atmospheric River,California Atmospheric River,2023,3. Suburban Sprawl,178,22216.0264930545053,2110522.516840178
California Atmospheric River,California Atmospheric River,2022,4. Forest/Wildland (Natural Sponge),70,44549.0532356426038,2361099.821489058
California Atmospheric River,California Atmospheric River,2023,4. Forest/Wildland (Natural Sponge),411,41388.3559867721839,10802360.912547540
California Atmospheric River,California Atmospheric River,2023,5. Agricultural/Rural (Moderate Runoff),290,50134.9720719304749,10979558.883752774
California Atmospheric River,California Atmospheric River,2022,5. Agricultural/Rural (Moderate Runoff),12,69112.8218784796000,691128.218784796
California Atmospheric River,California Atmospheric River,2023,6. Mixed/Transition Zone,500,48823.0603810923905,16502194.408809228
California Atmospheric River,California Atmospheric River,2022,6. Mixed/Transition Zone,133,49109.3223565207282,5058260.202721635
CT0421,Hurricane Ida,2021,1. Wetland Buffer (High Absorption),1,46908.7328209680000,46908.732820968
CT0421,Hurricane Ida,2021,2. Dense Urban (Concrete Shield),24,16825.5238875891429,353336.001639372
CT0421,Hurricane Ida,2021,3. Suburban Sprawl,185,41390.1333480775200,6208520.002211628
CT0421,Hurricane Ida,2021,4. Forest/Wildland (Natural Sponge),62,19550.1428833629130,899306.572634694
CT0421,Hurricane Ida,2021,6. Mixed/Transition Zone,435,37441.7645210139405,13853452.872775158
December Nor'easter,December Nor'easter,2023,1. Wetland Buffer (High Absorption),406,26759.3821660349747,8455964.764467052
December Nor'easter,December Nor'easter,2023,2. Dense Urban (Concrete Shield),122,25331.1036078498333,2127812.703059386
December Nor'easter,December Nor'easter,2023,3. Suburban Sprawl,436,31485.0619516616185,10232645.134290026
December Nor'easter,December Nor'easter,2023,4. Forest/Wildland (Natural Sponge),295,26524.0987922594250,6365783.710142262
December Nor'easter,December Nor'easter,2023,5. Agricultural/Rural (Moderate Runoff),1,12265.7450215720000,12265.745021572
December Nor'easter,December Nor'easter,2023,6. Mixed/Transition Zone,693,27779.0922800119066,16056315.337846882
December Storm - Nor'easter,December Storm - Nor'easter,1992,1. Wetland Buffer (High Absorption),4851,19363.2148181530536,79834534.695245040
December Storm - Nor'easter,December Storm - Nor'easter,1992,2. Dense Urban (Concrete Shield),5070,17376.2932171476672,71416565.122476912
December Storm - Nor'easter,December Storm - Nor'easter,1992,3. Suburban Sprawl,4469,26565.5330560366081,94281076.815873922
December Storm - Nor'easter,December Storm - Nor'easter,1992,4. Forest/Wildland (Natural Sponge),318,20587.1133014370648,4446816.473110406
December Storm - Nor'easter,December Storm - Nor'easter,1992,5. Agricultural/Rural (Moderate Runoff),35,26300.5228579607500,631212.548591058
December Storm - Nor'easter,December Storm - Nor'easter,1992,6. Mixed/Transition Zone,15360,22467.0496117629069,275670698.736330868
